Sno,width,Length
1,3.7,19.4
2,2.9,15.3
3,3.9,22.6
4,2.2,18.3
5,3,19.3
6,2.3,11.5
7,2.4,11.7
8,3.4,22.7
9,2.3,13.4
10,1.8,10.7
11,3.1,19.7
12,2.5,16.5
13,2.2,13.2
14,3.6,19.7
15,3.6,20.5
16,5,14.5
17,4.6,12.5
18,5.1,13.2
19,3.8,11
20,5.4,12.2
21,3.4,8.7
22,4.6,10.2
23,3,6.7
24,4.8,12.2
25,5.6,14.3
26,4.8,11
27,2.7,11.7
28,4.6,18
29,4.5,16.2
30,5.2,18.7
31,3.8,15.2
32,4.8,9
33,5.6,10
34,6.4,11
35,5.8,10.8
36,4,8.5
37,7.8,16.3
38,5.8,9.7
39,8.7,13.5
