,0
count,532659.0
mean,1.8773737043834956e-06
std,6.337640540503492e-06
min,9.176924669124354e-07
25%,9.176924669124354e-07
50%,9.176924669124354e-07
75%,1.0493470381335453e-06
max,0.0010817240693479938
