,0
count,532659.0
mean,0.00026899656098228653
std,0.0013435095620210429
min,5.116813041321229e-40
25%,5.116813041321229e-40
50%,5.116813041321229e-40
75%,2.8819241139719076e-05
max,0.04412266132591535
